OBJECTID,Statistical area 2 (SA2) 2023 code,Statistical area 2 (SA2) 2023 name,Statistical area 2 (SA2) 2023 name no macrons,"Subject pop: Census usually resident population, Year: 2013, Measure: Count, Var1: Census usually resident population (Total)","Subject pop: Census usually resident population, Year: 2018, Measure: Count, Var1: Census usually resident population (Total)","Subject pop: Census usually resident population, Year: 2023, Measure: Count, Var1: Census usually resident population (Total)","Subject pop: Census usually resident population, Year: Change 2013-2018, Measure: Percent, Var1: Census usually resident population (Total)","Subject pop: Census usually resident population, Year: Change 2018-2023, Measure: Percent, Var1: Census usually resident population (Total)",Area square kilometres,Land area square kilometres,Shape__Area,Shape__Length
2121,118502,Pinehill South,Pinehill South,2316,2466,2511,6.5,1.8,0.93163403,0.93163403,931681.6582,4271.137063
2122,118501,Pinehill North,Pinehill North,1635,1809,2313,10.6,27.9,0.69739434,0.69739434,697634.8262,3536.457809
2123,118400,Schnapper Rock,Schnapper Rock,3699,3939,3867,6.5,-1.8,2.21385876,2.21385876,2213809.4,8087.192009
2124,118300,Browns Bay Central,Browns Bay Central,2688,2844,3213,5.8,13,1.1827525,1.1827525,1182887.833,5826.0829
2125,118200,Browns Bay South West,Browns Bay South West,3996,4221,4143,5.6,-1.8,1.15126945,1.15126945,1151196.176,5077.511942
2126,118100,Albany South,Albany South,3267,3405,3375,4.2,-0.9,1.4839885,1.4839885,1484039.925,7464.793786
2127,118001,Waitākere,Waitakere,1674,1818,1812,8.6,-0.3,14.78962279,14.78962279,14789682.75,22427.17791
2128,117900,Waiake,Waiake,3720,3885,3912,4.4,0.7,1.24979644,1.24979644,1249761.862,5819.678315
2129,117800,Oteha West,Oteha West,1467,1902,2289,29.7,20.3,0.52951153,0.52951153,529462.9668,3480.72782
2130,117700,Northcross,Northcross,3219,3276,3258,1.8,-0.5,1.07077622,1.07077622,1070748.252,5329.640175
2131,117600,Oteha East,Oteha East,3042,3210,3090,5.5,-3.7,0.76253067,0.76253067,762400.0078,4514.11694
